season,team,low_sample_pct,matches_played,matches_won,win_pct
2012,Rajasthan Royals,1.8072289156626506,16,7,43.75
2012,Royal Challengers Bengaluru,7.051282051282051,15,8,53.333333333333336
2013,Chennai Super Kings,4.324324324324325,18,12,66.66666666666667
2013,Delhi Capitals,7.514450867052023,16,3,18.75
2013,Kolkata Knight Riders,8.875739644970414,16,6,37.5
2013,Mumbai Indians,5.392156862745098,19,13,68.42105263157895
2013,Pune Warriors,11.695906432748538,16,4,25.0
2013,Punjab Kings,5.357142857142857,16,8,50.0
2013,Rajasthan Royals,7.4866310160427805,18,11,61.111111111111114
2013,Royal Challengers Bengaluru,9.815950920245399,16,9,56.25
2013,Sunrisers Hyderabad,4.891304347826087,17,10,58.8235294117647
2014,Chennai Super Kings,6.134969325153374,16,10,62.5
2014,Delhi Capitals,12.418300653594772,14,2,14.285714285714286
2014,Kolkata Knight Riders,8.433734939759036,16,11,68.75
2014,Mumbai Indians,4.3478260869565215,15,7,46.666666666666664
2014,Punjab Kings,3.8461538461538463,17,12,70.58823529411765
2014,Rajasthan Royals,9.45945945945946,14,7,50.0
2014,Royal Challengers Bengaluru,6.666666666666667,14,5,35.714285714285715
2014,Sunrisers Hyderabad,3.3333333333333335,14,6,42.857142857142854
2015,Chennai Super Kings,1.0869565217391304,17,10,58.8235294117647
2015,Delhi Capitals,8.904109589041095,13,5,38.46153846153846
2015,Kolkata Knight Riders,4.964539007092198,13,7,53.84615384615385
2015,Mumbai Indians,4.651162790697675,16,10,62.5
2015,Punjab Kings,8.49673202614379,14,3,21.428571428571427
2015,Rajasthan Royals,3.4965034965034967,13,7,53.84615384615385
2015,Royal Challengers Bengaluru,7.051282051282051,14,8,57.142857142857146
2015,Sunrisers Hyderabad,11.486486486486486,14,7,50.0
2016,Delhi Capitals,10.738255033557047,14,7,50.0
2016,Gujarat Lions,8.187134502923977,16,9,56.25
2016,Kolkata Knight Riders,8.227848101265822,15,8,53.333333333333336
2016,Mumbai Indians,6.578947368421052,14,7,50.0
2016,Punjab Kings,6.578947368421052,14,4,28.571428571428573
2016,Rising Pune Supergiant,9.58904109589041,14,5,35.714285714285715
2016,Royal Challengers Bengaluru,7.228915662650603,16,9,56.25
2016,Sunrisers Hyderabad,3.3707865168539324,17,11,64.70588235294117
2017,Delhi Capitals,9.868421052631579,14,6,42.857142857142854
2017,Gujarat Lions,9.271523178807946,14,4,28.571428571428573
2017,Kolkata Knight Riders,4.191616766467066,16,9,56.25
2017,Mumbai Indians,1.0869565217391304,17,12,70.58823529411765
2017,Punjab Kings,6.896551724137931,14,7,50.0
2017,Rising Pune Supergiant,7.647058823529412,16,10,62.5
2017,Royal Challengers Bengaluru,8.51063829787234,13,3,23.076923076923077
2017,Sunrisers Hyderabad,7.092198581560283,14,8,57.142857142857146
2018,Chennai Super Kings,6.395348837209302,16,11,68.75
2018,Delhi Capitals,6.622516556291391,14,5,35.714285714285715
2018,Kolkata Knight Riders,5.232558139534884,16,9,56.25
2018,Mumbai Indians,4.666666666666667,14,6,42.857142857142854
2018,Punjab Kings,3.3333333333333335,14,6,42.857142857142854
2018,Rajasthan Royals,9.937888198757763,15,7,46.666666666666664
2018,Royal Challengers Bengaluru,11.258278145695364,14,6,42.857142857142854
2018,Sunrisers Hyderabad,4.49438202247191,17,10,58.8235294117647
2019,Chennai Super Kings,3.314917127071823,17,10,58.8235294117647
2019,Delhi Capitals,9.714285714285714,16,10,62.5
2019,Kolkata Knight Riders,6.8493150684931505,14,6,42.857142857142854
2019,Mumbai Indians,11.046511627906977,16,11,68.75
2019,Punjab Kings,3.3557046979865772,14,6,42.857142857142854
2019,Rajasthan Royals,12.92517006802721,13,5,38.46153846153846
2019,Royal Challengers Bengaluru,17.56756756756757,13,5,38.46153846153846
2019,Sunrisers Hyderabad,14.64968152866242,15,6,40.0
2020,Chennai Super Kings,5.517241379310345,14,6,42.857142857142854
2020,Delhi Capitals,4.864864864864865,17,9,52.94117647058823
2020,Kolkata Knight Riders,3.896103896103896,14,7,50.0
2020,Mumbai Indians,1.7751479289940828,16,11,68.75
2020,Punjab Kings,8.724832214765101,14,6,42.857142857142854
2020,Rajasthan Royals,6.756756756756757,14,6,42.857142857142854
2020,Royal Challengers Bengaluru,4.375,15,7,46.666666666666664
2020,Sunrisers Hyderabad,3.6144578313253013,16,8,50.0
2021,Chennai Super Kings,1.1976047904191616,16,11,68.75
2021,Delhi Capitals,2.3121387283236996,16,10,62.5
2021,Kolkata Knight Riders,3.2967032967032965,17,9,52.94117647058823
2021,Mumbai Indians,5.921052631578948,14,7,50.0
2021,Punjab Kings,5.921052631578948,14,6,42.857142857142854
2021,Rajasthan Royals,13.907284768211921,14,5,35.714285714285715
2021,Royal Challengers Bengaluru,5.660377358490566,15,9,60.0
2021,Sunrisers Hyderabad,10.666666666666666,14,3,21.428571428571427
2022,Chennai Super Kings,6.0,14,4,28.571428571428573
2022,Delhi Capitals,6.122448979591836,14,7,50.0
2022,Gujarat Titans,6.395348837209302,16,12,75.0
