season,player,season_runs_conceded,season_balls,season_economy,streak_runs_conceded,streak_balls,streak_economy,economy_delta
2012,RJ Harris,130,108,7.222222222222222,98,84,7.0,-0.22222222222222232
2012,RJ Peterson,70,48,8.75,67,42,9.571428571428571,0.8214285714285712
2012,RP Singh,318,246,7.7560975609756095,291,222,7.864864864864865,0.10876730388925537
2012,S Nadeem,318,270,7.066666666666666,318,270,7.066666666666666,0.0
2012,SB Jakati,336,246,8.195121951219512,294,210,8.4,0.204878048780488
2012,SC Ganguly,95,60,9.5,78,48,9.75,0.25
2012,SK Raina,105,84,7.5,95,72,7.916666666666667,0.41666666666666696
2012,SK Trivedi,380,312,7.3076923076923075,271,222,7.324324324324325,0.016632016632017077
2012,SL Malinga,350,333,6.306306306306307,350,333,6.306306306306307,0.0
2012,SP Narine,324,355,5.476056338028169,273,307,5.335504885993486,-0.1405514520346829
2012,SR Watson,161,138,7.0,89,66,8.090909090909092,1.0909090909090917
2012,STR Binny,78,60,7.8,32,30,6.4,-1.3999999999999995
2012,SW Tait,151,137,6.6131386861313874,33,43,4.604651162790698,-2.0084875233406896
2012,Shakib Al Hasan,195,180,6.5,157,138,6.826086956521739,0.32608695652173925
2012,UT Yadav,453,366,7.426229508196721,453,366,7.426229508196721,0.0
2012,VR Aaron,271,186,8.741935483870968,271,186,8.741935483870968,0.0
2012,VY Mahesh,81,56,8.678571428571429,60,32,11.25,2.571428571428571
2012,WD Parnell,128,126,6.095238095238095,61,66,5.545454545454546,-0.549783549783549
2012,YK Pathan,182,132,8.272727272727273,128,96,8.0,-0.2727272727272734
2012,Z Khan,453,360,7.55,233,168,8.321428571428571,0.7714285714285714
2013,A Ashish Reddy,70,40,10.5,70,40,10.5,0.0
2013,A Chandila,156,150,6.24,156,150,6.24,0.0
2013,A Mishra,394,372,6.354838709677419,394,372,6.354838709677419,0.0
2013,A Nehra,316,216,8.777777777777779,55,42,7.857142857142857,-0.9206349206349218
2013,AA Chavan,63,54,7.0,63,54,7.0,0.0
2013,AD Russell,68,42,9.714285714285714,55,36,9.166666666666666,-0.5476190476190474
2013,AN Ahmed,45,42,6.428571428571429,45,42,6.428571428571429,0.0
2013,Anand Rajan,42,48,5.25,42,48,5.25,0.0
2013,Azhar Mahmood,330,263,7.52851711026616,35,24,8.75,1.2214828897338403
2013,B Laughlin,71,42,10.142857142857142,46,24,11.5,1.3571428571428577
2013,B Lee,86,72,7.166666666666667,60,48,7.5,0.33333333333333304
2013,BA Bhatt,32,30,6.4,32,30,6.4,0.0
2013,CH Morris,401,300,8.02,374,276,8.130434782608695,0.11043478260869577
2013,DJ Bravo,497,375,7.952,426,327,7.81651376146789,-0.13548623853210984
2013,DJ Hussey,91,66,8.272727272727273,14,24,3.5,-4.772727272727273
2013,DJG Sammy,168,134,7.522388059701493,168,134,7.522388059701493,0.0
2013,DP Nannes,158,119,7.966386554621849,123,72,10.25,2.283613445378151
2013,DR Smith,59,30,11.8,59,30,11.8,0.0
2013,DS Kulkarni,151,112,8.089285714285714,151,112,8.089285714285714,0.0
2013,DT Christian,55,36,9.166666666666666,55,36,9.166666666666666,0.0
2013,DW Steyn,384,407,5.660933660933662,384,407,5.660933660933662,0.0
2013,GH Vihari,38,36,6.333333333333333,38,36,6.333333333333333,0.0
2013,Harbhajan Singh,456,420,6.514285714285714,421,408,6.1911764705882355,-0.32310924369747873
2013,Harmeet Singh,121,92,7.891304347826087,82,68,7.235294117647059,-0.656010230179028
2013,I Sharma,466,358,7.810055865921788,466,358,7.810055865921788,0.0
2013,IK Pathan,382,308,7.441558441558441,46,36,7.666666666666667,0.22510822510822592
2013,J Botha,109,100,6.539999999999999,41,28,8.785714285714285,2.2457142857142856
2013,J Syed Mohammad,91,60,9.1,91,60,9.1,0.0
2013,JA Morkel,159,144,6.625,159,144,6.625,0.0
2013,JD Unadkat,370,294,7.551020408163265,370,294,7.551020408163265,0.0
2013,JH Kallis,394,318,7.433962264150943,81,66,7.363636363636363,-0.07032590051457976
2013,JJ Bumrah,70,42,10.0,70,42,10.0,0.0
2013,JO Holder,168,120,8.4,168,120,8.4,0.0
2013,JP Faulkner,427,379,6.759894459102902,427,379,6.759894459102902,0.0
2013,KA Pollard,292,186,9.419354838709678,278,174,9.586206896551724,0.16685205784204626
2013,KK Cooper,449,324,8.314814814814815,449,324,8.314814814814815,0.0
2013,KV Sharma,230,209,6.602870813397129,230,209,6.602870813397129,0.0
2013,L Balaji,387,300,7.74,53,45,7.066666666666666,-0.6733333333333338
2013,M Kartik,284,234,7.282051282051282,284,234,7.282051282051282,0.0
2013,M Muralitharan,177,138,7.695652173913044,177,138,7.695652173913044,0.0
2013,MC Henriques,185,127,8.74015748031496,185,127,8.74015748031496,0.0
2013,MG Johnson,459,384,7.171875,433,360,7.216666666666667,0.044791666666666785
2013,MM Patel,137,90,9.133333333333333,137,90,9.133333333333333,0.0
2013,MM Sharma,326,304,6.434210526315789,326,304,6.434210526315789,0.0
2013,Mohammed Shami,78,54,8.666666666666666,26,18,8.666666666666666,0.0
2013,NLTC Perera,478,358,8.011173184357542,478,358,8.011173184357542,0.0
2013,P Awana,412,324,7.62962962962963,21,24,5.25,-2.3796296296296298
2013,P Kumar,373,338,6.621301775147929,57,48,7.125,0.5036982248520712
2013,PP Chawla,418,350,7.1657142857142855,50,36,8.333333333333334,1.1676190476190484
2013,PP Ojha,381,314,7.280254777070064,360,290,7.448275862068965,0.16802108499890167
2013,PV Tambe,88,66,8.0,88,66,8.0,0.0
2013,R Ashwin,390,348,6.724137931034483,347,306,6.803921568627451,0.0797836375929677
2013,R Bhatia,332,263,7.574144486692015,54,48,6.75,-0.8241444866920151
2013,R Dhawan,109,90,7.266666666666667,109,90,7.266666666666667,0.0
2013,R McLaren,94,42,13.428571428571429,34,18,11.333333333333334,-2.095238095238095
2013,R Rampaul,261,226,6.92920353982301,261,226,6.92920353982301,0.0
2013,R Shukla,79,48,9.875,79,48,9.875,0.0
2013,R Vinay Kumar,493,361,8.193905817174516,493,361,8.193905817174516,0.0
2013,RA Jadeja,323,259,7.482625482625483,282,223,7.587443946188341,0.10481846356285818
2013,RP Singh,335,239,8.410041841004183,335,239,8.410041841004183,0.0
2013,S Nadeem,259,264,5.886363636363637,44,48,5.5,-0.3863636363636367
2013,S Sreesanth,163,130,7.523076923076923,163,130,7.523076923076923,0.0
2013,SK Trivedi,410,359,6.852367688022284,410,359,6.852367688022284,0.0
2013,SL Malinga,468,392,7.163265306122449,443,368,7.2228260869565215,0.05956078083407235
2013,SP Narine,350,384,5.46875,58,72,4.833333333333333,-0.635416666666667
2013,SR Watson,298,250,7.152,298,250,7.152,0.0
2013,STR Binny,162,144,6.75,162,144,6.75,0.0
2013,SW Tait,98,60,9.8,98,60,9.8,0.0
2013,UT Yadav,508,347,8.78386167146974,47,42,6.714285714285714,-2.0695759571840258
2013,VS Malik,59,60,5.9,59,60,5.9,0.0
2013,Z Khan,47,36,7.833333333333333,47,36,7.833333333333333,0.0
2014,A Mishra,340,225,9.066666666666666,88,60,8.8,-0.2666666666666657
2014,A Nehra,142,90,9.466666666666667,118,72,9.833333333333334,0.36666666666666714
2014,AB Dinda,270,186,8.709677419354838,233,168,8.321428571428571,-0.3882488479262669
2014,AD Russell,52,30,10.4,52,30,10.4,0.0
2014,AN Ahmed,113,86,7.883720930232558,73,62,7.064516129032258,-0.8192048012002999
2014,AR Patel,405,396,6.136363636363637,405,396,6.136363636363637,0.0
2014,Ankit Sharma,43,48,5.375,43,48,5.375,0.0
2014,B Kumar,354,319,6.6583072100313485,140,108,7.777777777777778,1.1194705677464292
2014,BE Hendricks,126,72,10.5,126,72,10.5,0.0
2014,BW Hilfenhaus,246,168,8.785714285714286,237,156,9.115384615384615,0.3296703296703285
2014,CJ Anderson,184,108,10.222222222222221,82,48,10.25,0.027777777777778567
2014,DR Smith,95,60,9.5,56,36,9.333333333333334,-0.16666666666666607
2014,DS Kulkarni,221,162,8.185185185185185,221,162,8.185185185185185,0.0
2014,DW Steyn,431,336,7.696428571428571,186,120,9.3,1.6035714285714295
2014,GJ Maxwell,132,66,12.0,132,66,12.0,0.0
2014,HV Patel,113,66,10.272727272727273,113,66,10.272727272727273,0.0
2014,Harbhajan Singh,356,330,6.472727272727273,109,90,7.266666666666667,0.793939393939394
2014,IC Pandey,318,252,7.571428571428571,295,228,7.7631578947368425,0.1917293233082713
2014,IK Pathan,205,142,8.661971830985916,86,54,9.555555555555555,0.8935837245696394
2014,JA Morkel,126,96,7.875,106,84,7.571428571428571,-0.3035714285714288
2014,JD Unadkat,270,187,8.663101604278074,183,115,9.54782608695652,0.8847244826784468
2014,JDS Neesham,91,54,10.11111111111111,77,48,9.625,-0.4861111111111107
2014,JH Kallis,186,132,8.454545454545455,186,132,8.454545454545455,0.0
2014,JJ Bumrah,301,238,7.588235294117648,84,58,8.689655172413794,1.101419878296146
2014,JP Duminy,240,198,7.2727272727272725,104,78,8.0,0.7272727272727275
2014,JP Faulkner,419,258,9.744186046511627,419,258,9.744186046511627,0.0
2014,KA Pollard,262,150,10.48,62,36,10.333333333333334,-0.1466666666666665
2014,KK Cooper,134,108,7.444444444444445,134,108,7.444444444444445,0.0
2014,KV Sharma,376,304,7.421052631578948,157,106,8.886792452830187,1.4657398212512396
2014,KW Richardson,206,162,7.62962962962963,206,162,7.62962962962963,0.0
2014,Karanveer Singh,164,120,8.2,164,120,8.2,0.0
2014,L Balaji,299,204,8.794117647058824,299,204,8.794117647058824,0.0
2014,LR Shukla,83,56,8.892857142857142,71,48,8.875,-0.01785714285714235
2014,M Kartik,91,48,11.375,91,48,11.375,0.0
2014,M Morkel,367,288,7.645833333333333,367,288,7.645833333333333,0.0
2014,M Muralitharan,124,96,7.75,99,72,8.25,0.5
2014,MA Starc,402,322,7.490683229813665,310,262,7.099236641221374,-0.39144658859229065
2014,MC Henriques,96,60,9.6,85,48,10.625,1.0250000000000004
2014,MG Johnson,444,321,8.299065420560748,444,321,8.299065420560748,0.0
2014,MM Sharma,452,323,8.396284829721361,400,288,8.333333333333334,-0.06295149638802755
2014,Mohammed Shami,369,264,8.386363636363637,231,168,8.25,-0.1363636363636367
2014,P Awana,245,141,10.425531914893616,245,141,10.425531914893616,0.0
2014,P Kumar,78,72,6.5,27,24,6.75,0.25
2014,P Negi,75,42,10.714285714285714,38,24,9.5,-1.2142857142857135
2014,PP Chawla,303,237,7.670886075949367,303,237,7.670886075949367,0.0
