season,team,streak_start_date,streak_end_date,streak_length
2014,Delhi Capitals,2014-04-17,2014-04-25,4
2014,Delhi Capitals,2014-05-03,2014-05-07,3
2014,Kolkata Knight Riders,2014-04-16,2014-06-01,16
2014,Mumbai Indians,2014-04-16,2014-04-19,2
2014,Mumbai Indians,2014-05-25,2014-05-28,2
2014,Punjab Kings,2014-04-18,2014-06-01,17
2014,Rajasthan Royals,2014-04-18,2014-05-25,14
2014,Royal Challengers Bengaluru,2014-04-17,2014-05-09,8
2014,Royal Challengers Bengaluru,2014-05-18,2014-05-22,3
2014,Sunrisers Hyderabad,2014-05-10,2014-05-14,3
2014,Sunrisers Hyderabad,2014-05-22,2014-05-24,2
2015,Chennai Super Kings,2015-04-09,2015-05-24,17
2015,Delhi Capitals,2015-04-09,2015-04-12,2
2015,Delhi Capitals,2015-04-18,2015-05-05,7
2015,Kolkata Knight Riders,2015-04-08,2015-05-16,13
2015,Mumbai Indians,2015-04-08,2015-04-12,2
2015,Mumbai Indians,2015-05-05,2015-05-10,3
2015,Mumbai Indians,2015-05-17,2015-05-24,3
2015,Punjab Kings,2015-04-10,2015-04-25,6
2015,Rajasthan Royals,2015-04-10,2015-05-10,12
2015,Royal Challengers Bengaluru,2015-04-11,2015-04-19,3
2015,Royal Challengers Bengaluru,2015-04-26,2015-05-06,5
2015,Royal Challengers Bengaluru,2015-05-13,2015-05-22,5
2015,Sunrisers Hyderabad,2015-04-16,2015-04-18,2
2015,Sunrisers Hyderabad,2015-05-11,2015-05-17,3
2016,Delhi Capitals,2016-04-17,2016-05-17,10
2016,Gujarat Lions,2016-04-11,2016-05-27,16
2016,Kolkata Knight Riders,2016-04-10,2016-05-25,15
2016,Mumbai Indians,2016-04-09,2016-05-21,14
2016,Rising Pune Supergiant,2016-04-09,2016-04-17,3
2016,Royal Challengers Bengaluru,2016-04-12,2016-04-20,3
2016,Royal Challengers Bengaluru,2016-05-18,2016-05-29,4
2016,Sunrisers Hyderabad,2016-04-21,2016-05-29,14
2017,Delhi Capitals,2017-04-15,2017-04-22,4
2017,Kolkata Knight Riders,2017-04-07,2017-05-19,16
2017,Mumbai Indians,2017-04-12,2017-05-21,15
2017,Punjab Kings,2017-04-08,2017-05-14,14
2017,Rising Pune Supergiant,2017-04-06,2017-04-14,4
2017,Rising Pune Supergiant,2017-04-22,2017-05-21,11
2017,Royal Challengers Bengaluru,2017-04-05,2017-04-14,4
2017,Sunrisers Hyderabad,2017-04-05,2017-05-17,14
2018,Chennai Super Kings,2018-04-07,2018-05-27,16
2018,Delhi Capitals,2018-04-08,2018-04-11,2
2018,Kolkata Knight Riders,2018-04-08,2018-05-25,16
2018,Mumbai Indians,2018-05-06,2018-05-13,3
2018,Punjab Kings,2018-04-08,2018-05-20,14
2018,Rajasthan Royals,2018-04-09,2018-05-02,8
2018,Rajasthan Royals,2018-05-13,2018-05-23,4
2018,Sunrisers Hyderabad,2018-04-09,2018-05-27,17
2019,Chennai Super Kings,2019-03-23,2019-05-12,17
2019,Delhi Capitals,2019-03-24,2019-04-04,5
2019,Delhi Capitals,2019-04-12,2019-05-10,10
2019,Kolkata Knight Riders,2019-03-24,2019-04-21,10
2019,Mumbai Indians,2019-03-24,2019-03-30,3
2019,Mumbai Indians,2019-04-06,2019-05-12,12
2019,Punjab Kings,2019-03-25,2019-04-29,12
2019,Royal Challengers Bengaluru,2019-03-23,2019-03-28,2
2019,Sunrisers Hyderabad,2019-03-31,2019-04-08,4
2019,Sunrisers Hyderabad,2019-04-21,2019-05-08,7
2020,Chennai Super Kings,2020-09-19,2020-09-25,3
2020,Chennai Super Kings,2020-10-17,2020-10-19,2
2020,Delhi Capitals,2020-09-20,2020-11-10,17
2020,Kolkata Knight Riders,2020-09-30,2020-11-01,12
2020,Mumbai Indians,2020-09-19,2020-11-10,16
2020,Punjab Kings,2020-09-27,2020-10-01,2
2020,Punjab Kings,2020-10-24,2020-11-01,4
