player,archetype,old_team,season_before,score_before,new_team,season_after,score_after,delta,league_std,team_archetype_mean,classification,moved_toward_new_team_mean
BB Sran,Death Specialist,Sunrisers Hyderabad,2017,2.1759052179297695,Punjab Kings,2018,-0.607069299945313,-2.7829745178750827,1.2677842702626976,0.1663946261688762,Adaptable,True
BB Sran,Death Specialist,Punjab Kings,2018,-0.607069299945313,Mumbai Indians,2019,2.4891732487593305,3.0962425487046437,1.0948862151118541,1.388323831438635,Adaptable,True
BCJ Cutting,Middle-Over Squeezer,Sunrisers Hyderabad,2017,0.2262996369322407,Mumbai Indians,2018,-0.09781417184239254,-0.32411380877463325,1.4113279201609845,1.3890813182381738,Stable,False
BJ Hodge,Anchor,Kolkata Knight Riders,2010,0.4516562572272047,Kochi Tuskers Kerala,2011,1.7698768918023053,1.3182206345751006,0.7737106731511492,1.7698768918023053,Adaptable,True
Bipul Sharma,Death Specialist,Punjab Kings,2013,2.5509406417161324,Sunrisers Hyderabad,2015,2.3831776507891598,-0.16776299092697267,1.1051135794778315,0.8192607954626597,Stable,True
C Munro,Powerplay Aggressor,Kolkata Knight Riders,2016,0.3175831117561779,Delhi Capitals,2018,1.0488677570926497,0.7312846453364718,0.44629537274048015,0.47633638423472946,Adaptable,False
C Sakariya,Death Specialist,Rajasthan Royals,2021,-0.31411182425310186,Delhi Capitals,2022,0.17354880207708523,0.4876606263301871,1.1629921003502353,0.7390551911926461,Stable,True
C de Grandhomme,Middle-Over Squeezer,Kolkata Knight Riders,2017,-0.3430838820842582,Royal Challengers Bengaluru,2018,0.12596802922227102,0.46905191130652923,1.4113279201609845,0.3829245415099962,Stable,True
CA Lynn,Anchor,Deccan Chargers,2012,-1.3298217948142104,Kolkata Knight Riders,2014,1.3938547529486367,2.723676547762847,0.7233391811102918,1.2340532348564563,Adaptable,True
CH Gayle,Powerplay Aggressor,Royal Challengers Bengaluru,2017,-0.11255067095269576,Punjab Kings,2018,0.6544129164849172,0.766963587437613,0.44629537274048015,0.5233264088486105,Adaptable,True
CH Morris,Middle-Over Squeezer,Rajasthan Royals,2015,1.591402296471477,Delhi Capitals,2016,0.8086528162144594,-0.7827494802570175,1.3110164993660076,0.5294590680180784,Stable,True
CJ Jordan,Middle-Over Squeezer,Royal Challengers Bengaluru,2016,0.3549704118365346,Sunrisers Hyderabad,2017,3.6014404966445013,3.246470084807967,1.2910329372059233,1.008140302351698,Adaptable,False
CJ Jordan,Middle-Over Squeezer,Sunrisers Hyderabad,2018,2.4602478851553924,Punjab Kings,2020,0.6055550417867355,-1.854692843368657,1.7015359340307288,0.5694275152063394,Adaptable,True
CJ Jordan,Death Specialist,Chennai Super Kings,2022,-0.5553289138160735,Mumbai Indians,2023,-0.33297546830564656,0.22235344551042696,0.9939108606197922,0.5572861661155749,Stable,True
CM Gautam,Powerplay Aggressor,Mumbai Indians,2014,0.4782704259496663,Delhi Capitals,2015,-0.11887395185815533,-0.5971443778078216,0.5405043552103314,0.5083105522267185,Adaptable,False
