season,player,team,tenure_years
2015,AB Dinda,Royal Challengers Bengaluru,2
2016,AB Dinda,Rising Pune Supergiant,1
2017,AB Dinda,Rising Pune Supergiant,2
2009,AB McDonald,Delhi Capitals,1
2010,AB McDonald,Delhi Capitals,2
2011,AB McDonald,Delhi Capitals,3
2012,AB McDonald,Royal Challengers Bengaluru,1
2013,AB McDonald,Royal Challengers Bengaluru,2
2008,AB de Villiers,Delhi Capitals,1
2009,AB de Villiers,Delhi Capitals,2
2010,AB de Villiers,Delhi Capitals,3
2011,AB de Villiers,Royal Challengers Bengaluru,1
2012,AB de Villiers,Royal Challengers Bengaluru,2
2013,AB de Villiers,Royal Challengers Bengaluru,3
2014,AB de Villiers,Royal Challengers Bengaluru,4
2015,AB de Villiers,Royal Challengers Bengaluru,5
2016,AB de Villiers,Royal Challengers Bengaluru,6
2017,AB de Villiers,Royal Challengers Bengaluru,7
2018,AB de Villiers,Royal Challengers Bengaluru,8
2019,AB de Villiers,Royal Challengers Bengaluru,9
2020,AB de Villiers,Royal Challengers Bengaluru,10
2021,AB de Villiers,Royal Challengers Bengaluru,11
2011,AC Blizzard,Mumbai Indians,1
2012,AC Blizzard,Mumbai Indians,2
2008,AC Gilchrist,Deccan Chargers,1
2009,AC Gilchrist,Deccan Chargers,2
2010,AC Gilchrist,Deccan Chargers,3
2011,AC Gilchrist,Punjab Kings,1
2012,AC Gilchrist,Punjab Kings,2
2013,AC Gilchrist,Punjab Kings,3
2011,AC Thomas,Pune Warriors,1
2012,AC Thomas,Pune Warriors,2
2010,AC Voges,Rajasthan Royals,1
2018,AD Hales,Sunrisers Hyderabad,1
2008,AD Mascarenhas,Rajasthan Royals,1
2009,AD Mascarenhas,Rajasthan Royals,2
2010,AD Mascarenhas,Rajasthan Royals,3
2012,AD Mascarenhas,Punjab Kings,1
2013,AD Mascarenhas,Punjab Kings,2
2009,AD Mathews,Kolkata Knight Riders,1
2010,AD Mathews,Kolkata Knight Riders,2
2012,AD Mathews,Pune Warriors,1
2013,AD Mathews,Pune Warriors,2
2015,AD Mathews,Delhi Capitals,1
2017,AD Mathews,Delhi Capitals,1
2016,AD Nath,Gujarat Lions,1
2017,AD Nath,Gujarat Lions,2
2018,AD Nath,Punjab Kings,1
2019,AD Nath,Royal Challengers Bengaluru,1
2012,AD Russell,Delhi Capitals,1
2013,AD Russell,Delhi Capitals,2
2014,AD Russell,Kolkata Knight Riders,1
2015,AD Russell,Kolkata Knight Riders,2
2016,AD Russell,Kolkata Knight Riders,3
2018,AD Russell,Kolkata Knight Riders,1
2019,AD Russell,Kolkata Knight Riders,2
2020,AD Russell,Kolkata Knight Riders,3
2021,AD Russell,Kolkata Knight Riders,4
2022,AD Russell,Kolkata Knight Riders,5
2023,AD Russell,Kolkata Knight Riders,6
2024,AD Russell,Kolkata Knight Riders,7
2025,AD Russell,Kolkata Knight Riders,8
2016,AF Milne,Royal Challengers Bengaluru,1
2017,AF Milne,Royal Challengers Bengaluru,2
2021,AF Milne,Mumbai Indians,1
2022,AF Milne,Chennai Super Kings,1
2010,AG Murtaza,Mumbai Indians,1
2011,AG Murtaza,Mumbai Indians,2
2012,AG Murtaza,Pune Warriors,1
2013,AG Murtaza,Pune Warriors,2
2010,AG Paunikar,Rajasthan Royals,1
2011,AG Paunikar,Rajasthan Royals,2
2010,AJ Finch,Rajasthan Royals,1
2011,AJ Finch,Delhi Capitals,1
2012,AJ Finch,Delhi Capitals,2
2013,AJ Finch,Pune Warriors,1
2014,AJ Finch,Sunrisers Hyderabad,1
2015,AJ Finch,Mumbai Indians,1
2016,AJ Finch,Gujarat Lions,1
2017,AJ Finch,Gujarat Lions,2
2018,AJ Finch,Punjab Kings,1
2020,AJ Finch,Royal Challengers Bengaluru,1
2022,AJ Finch,Kolkata Knight Riders,1
2023,AJ Hosein,Sunrisers Hyderabad,1
2019,AJ Turner,Rajasthan Royals,1
2024,AJ Turner,Lucknow Super Giants,1
2017,AJ Tye,Gujarat Lions,1
2018,AJ Tye,Punjab Kings,1
2019,AJ Tye,Punjab Kings,2
2020,AJ Tye,Rajasthan Royals,1
2022,AJ Tye,Lucknow Super Giants,1
2021,AK Markram,Punjab Kings,1
2022,AK Markram,Sunrisers Hyderabad,1
2023,AK Markram,Sunrisers Hyderabad,2
2024,AK Markram,Sunrisers Hyderabad,3
2025,AK Markram,Lucknow Super Giants,1
2011,AL Menaria,Rajasthan Royals,1
2012,AL Menaria,Rajasthan Royals,2
2013,AL Menaria,Rajasthan Royals,3
2008,AM Nayar,Mumbai Indians,1
2009,AM Nayar,Mumbai Indians,2
2010,AM Nayar,Mumbai Indians,3
2011,AM Nayar,Punjab Kings,1
2012,AM Nayar,Punjab Kings,2
2013,AM Nayar,Pune Warriors,1
2014,AM Nayar,Rajasthan Royals,1
2008,AM Rahane,Mumbai Indians,1
2009,AM Rahane,Mumbai Indians,2
2011,AM Rahane,Rajasthan Royals,1
2012,AM Rahane,Rajasthan Royals,2
2013,AM Rahane,Rajasthan Royals,3
2014,AM Rahane,Rajasthan Royals,4
2015,AM Rahane,Rajasthan Royals,5
2016,AM Rahane,Rising Pune Supergiant,1
2017,AM Rahane,Rising Pune Supergiant,2
2018,AM Rahane,Rajasthan Royals,1
2019,AM Rahane,Rajasthan Royals,2
2020,AM Rahane,Delhi Capitals,1
2021,AM Rahane,Delhi Capitals,2
2022,AM Rahane,Kolkata Knight Riders,1
2023,AM Rahane,Chennai Super Kings,1
2024,AM Rahane,Chennai Super Kings,2
2025,AM Rahane,Kolkata Knight Riders,1
2009,AM Salvi,Delhi Capitals,1
2011,AM Salvi,Delhi Capitals,1
2010,AN Ahmed,Mumbai Indians,1
2011,AN Ahmed,Mumbai Indians,2
2012,AN Ahmed,Mumbai Indians,3
