season,player,discipline,archetype,archetype_score,is_low_sample,total_balls_faced,overall_strike_rate,dismissal_rate,strike_rate_Powerplay,strike_rate_Middle,strike_rate_Death,balls_share_Powerplay,balls_share_Middle,balls_share_Death,total_balls_bowled,overall_economy,economy_Powerplay,economy_Middle,economy_Death
2013,OA Shah,Batter,Death Specialist,-0.6870598572434654,True,23.0,108.69565217391303,0.08695652173913043,0.0,125.0,100.0,0.0,0.34782608695652173,0.6521739130434783,,,,,
2013,P Dogra,Batter,Death Specialist,-1.2772956752626894,True,8.0,62.5,0.125,0.0,0.0,62.5,0.0,0.0,1.0,,,,,
2013,PA Patel,Batter,Death Specialist,1.083647596814206,False,255.0,115.29411764705881,0.047058823529411764,123.52941176470588,87.01298701298701,212.5,0.6666666666666666,0.30196078431372547,0.03137254901960784,,,,,
2013,PA Reddy,Batter,Powerplay Aggressor,0.11658908698840054,False,101.0,90.0990099009901,0.06930693069306931,90.41095890410958,89.28571428571429,0.0,0.7227722772277227,0.27722772277227725,0.0,,,,,
2013,PC Valthaty,Batter,Anchor,0.429595809780871,True,17.0,35.294117647058826,0.058823529411764705,33.33333333333333,36.36363636363637,0.0,0.35294117647058826,0.6470588235294118,0.0,,,,,
2013,Q de Kock,Batter,Powerplay Aggressor,-0.9447522237453827,True,15.0,40.0,0.2,40.0,0.0,0.0,1.0,0.0,0.0,,,,,
2013,R Dravid,Batter,Anchor,0.6162848557163938,False,425.0,110.8235294117647,0.03764705882352941,104.03587443946188,115.95744680851064,150.0,0.5247058823529411,0.4423529411764706,0.03294117647058824,,,,,
2013,R Sathish,Batter,Death Specialist,0.24982239358069974,False,77.0,141.55844155844156,0.06493506493506493,0.0,120.0,159.52380952380955,0.0,0.45454545454545453,0.5454545454545454,,,,,
2013,RG Sharma,Batter,Anchor,1.8706771725492732,False,409.0,131.5403422982885,0.034229828850855744,65.9090909090909,109.5617529880478,205.26315789473685,0.10757946210268948,0.6136919315403423,0.2787286063569682,,,,,
2013,RN ten Doeschate,Batter,Anchor,0.43888100040562084,False,63.0,134.92063492063494,0.047619047619047616,25.0,142.42424242424244,142.30769230769232,0.06349206349206349,0.5238095238095238,0.4126984126984127,,,,,
2013,RT Ponting,Batter,Powerplay Aggressor,-0.383318052125338,False,75.0,69.33333333333334,0.06666666666666667,66.66666666666666,80.0,0.0,0.8,0.2,0.0,,,,,
2013,RV Uthappa,Batter,Death Specialist,1.8706286875065046,False,371.0,116.98113207547169,0.04043126684636118,115.7676348547718,109.8360655737705,262.5,0.6495956873315364,0.3288409703504043,0.0215633423180593,,,,,
2013,S Anirudha,Batter,Powerplay Aggressor,-1.7869034811754498,True,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2013,S Badrinath,Batter,Anchor,1.5195608699672283,False,121.0,102.4793388429752,0.05785123966942149,55.55555555555556,115.15151515151516,0.0,0.1487603305785124,0.8181818181818182,0.03305785123966942,,,,,
