season,team,Anchor,Death Specialist,Middle-Over Squeezer,Powerplay Aggressor
2011,Pune Warriors,24.324324324324323,27.7027027027027,26.35135135135135,21.62162162162162
2011,Punjab Kings,17.687074829931973,67.34693877551021,11.564625850340136,3.401360544217687
2011,Rajasthan Royals,29.6875,53.125,2.34375,14.84375
2011,Royal Challengers Bengaluru,26.582278481012658,41.77215189873418,9.49367088607595,22.151898734177216
2012,Chennai Super Kings,24.193548387096776,29.56989247311828,27.956989247311828,18.27956989247312
2012,Deccan Chargers,16.875,33.125,30.625,19.375
2012,Delhi Capitals,22.580645161290324,38.17204301075269,24.193548387096776,15.053763440860216
2012,Kolkata Knight Riders,21.910112359550563,33.146067415730336,23.03370786516854,21.910112359550563
2012,Mumbai Indians,31.49171270718232,16.022099447513813,35.35911602209945,17.12707182320442
2012,Pune Warriors,26.31578947368421,32.16374269005848,16.95906432748538,24.56140350877193
2012,Punjab Kings,16.95906432748538,29.239766081871345,30.994152046783626,22.80701754385965
2012,Rajasthan Royals,19.879518072289155,37.34939759036145,29.518072289156628,13.25301204819277
2012,Royal Challengers Bengaluru,23.076923076923077,55.12820512820513,19.871794871794872,1.9230769230769231
2013,Chennai Super Kings,22.7027027027027,41.08108108108108,17.2972972972973,18.91891891891892
2013,Delhi Capitals,9.826589595375722,45.664739884393065,31.213872832369944,13.294797687861271
2013,Kolkata Knight Riders,23.076923076923077,28.994082840236686,23.076923076923077,24.85207100591716
2013,Mumbai Indians,33.8235294117647,24.50980392156863,21.568627450980394,20.098039215686274
2013,Pune Warriors,12.280701754385966,44.44444444444444,23.976608187134502,19.29824561403509
2013,Punjab Kings,19.047619047619047,35.11904761904762,35.714285714285715,10.119047619047619
2013,Rajasthan Royals,49.19786096256684,19.25133689839572,30.481283422459892,1.0695187165775402
2013,Royal Challengers Bengaluru,23.312883435582823,30.061349693251532,27.607361963190183,19.01840490797546
