season,team,player,archetype,archetype_score,league_median_score,score_gap,weight_share,projected_quality_shift,slope,p_value,replacement_delta_win_pct,discipline,key_stat,key_stat_actual,key_stat_median,key_stat_deficit
2015,Sunrisers Hyderabad,I Sharma,Death Specialist,-0.5808258290078177,0.8709309774233549,1.4517568064311726,0.1333333333333333,0.193567574190823,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,12.2,8.4,3.8
2015,Chennai Super Kings,IC Pandey,Middle-Over Squeezer,-0.0177663712911293,0.3565888396119768,0.3743552109031061,0.1886792452830188,0.0706330586609634,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.0,7.2,0.8
2014,Sunrisers Hyderabad,DW Steyn,Death Specialist,0.0046010351962027,0.8190454797172297,0.814444444521027,0.2028985507246377,0.165249597439049,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,9.2,7.0,2.2
2014,Mumbai Indians,PP Ojha,Middle-Over Squeezer,0.0409446870650313,0.5658227814097088,0.5248780943446774,0.2352941176470588,0.1235007280811005,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.0,7.1,0.9
2014,Kolkata Knight Riders,R Vinay Kumar,Middle-Over Squeezer,-0.3075280973346023,0.5658227814097088,0.8733508787443112,0.1875,0.1637532897645583,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.8,7.1,1.7
2014,Chennai Super Kings,RA Jadeja,Middle-Over Squeezer,0.0356428881322572,0.5658227814097088,0.5301798932774515,0.2666666666666666,0.141381304873987,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.0,7.1,0.9
2014,Delhi Capitals,S Kaul,Death Specialist,-0.0732003294813179,0.8190454797172297,0.8922458091985477,0.125,0.1115307261498184,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,9.5,7.0,2.5
2014,Punjab Kings,Sandeep Sharma,Middle-Over Squeezer,0.0568500838633552,0.5658227814097088,0.5089726975463535,0.1325301204819277,0.0674542129278299,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.0,7.1,0.9
2014,Rajasthan Royals,TG Southee,Death Specialist,0.1717298926516169,0.8190454797172297,0.6473155870656129,0.0526315789473684,0.0340692414245059,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,8.7,7.0,1.7
2015,Punjab Kings,Anureet Singh,Death Specialist,-0.2742754864068847,0.8709309774233549,1.1452064638302395,0.3888888888888889,0.4453580692673154,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,11.0,8.4,2.5
2015,Kolkata Knight Riders,Azhar Mahmood,Death Specialist,-1.972092768504358,0.8709309774233549,2.843023745927713,0.0277777777777777,0.0789728818313253,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,18.0,8.4,9.6
2014,Rajasthan Royals,DS Kulkarni,Middle-Over Squeezer,-0.6557116927015393,0.5658227814097088,1.2215344741112482,0.2,0.2443068948222496,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,9.6,7.1,2.5
2016,Gujarat Lions,PV Tambe,Middle-Over Squeezer,-0.4780101544671088,0.3523357869562911,0.8303459414234,0.1044776119402985,0.0867525610442358,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.6,7.1,1.5
2015,Kolkata Knight Riders,J Botha,Death Specialist,-0.6413156959424499,0.8709309774233549,1.5122466733658049,0.1111111111111111,0.168027408151756,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,12.5,8.4,4.1
2018,Delhi Capitals,CH Morris,Death Specialist,-0.5637187067967558,0.280022661459558,0.8437413682563139,0.0625,0.0527338355160196,-0.0128549540428558,0.996994908529343,0.0,Bowler,Death Economy,11.0,8.6,2.4
2018,Royal Challengers Bengaluru,CJ Anderson,Middle-Over Squeezer,-0.1145335316920507,0.6017590429196439,0.7162925746116946,0.0434782608695652,0.0311431554178997,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.7,7.6,1.0
2018,Royal Challengers Bengaluru,CR Woakes,Middle-Over Squeezer,-0.298446490038297,0.6017590429196439,0.9002055329579409,0.072463768115942,0.0652322849969522,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,9.0,7.6,1.4
2018,Chennai Super Kings,DJ Willey,Middle-Over Squeezer,-0.1145335316920507,0.6017590429196439,0.7162925746116946,0.0535714285714285,0.038372816497055,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.7,7.6,1.0
2018,Rajasthan Royals,JD Unadkat,Middle-Over Squeezer,0.0585610173397095,0.6017590429196439,0.5431980255799344,0.4166666666666667,0.2263325106583059,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.4,7.6,0.7
2017,Gujarat Lions,Tejas Baroka,Middle-Over Squeezer,-0.1487160141468993,0.4434139612412168,0.5921299753881161,0.0217391304347826,0.0128723907693068,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.0,7.0,1.0
2017,Kolkata Knight Riders,UT Yadav,Middle-Over Squeezer,0.0775865339180988,0.4434139612412168,0.3658274273231179,0.2372881355932203,0.0868065081783669,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,7.5,7.0,0.5
2017,Delhi Capitals,Z Khan,Middle-Over Squeezer,-0.4221649263921059,0.4434139612412168,0.8655788876333227,0.3548387096774194,0.3071408956118241,0.1853062392984933,0.9287425093754006,0.0,Bowler,Middle-overs Economy,8.6,7.0,1.6
