match_id,season,innings,over,ball,batting_team,bowling_team,batter,bowler,phase,wp_before,wp_after,leverage_index,dls_flag
392205,2009,1,17,2,Deccan Chargers,Rajasthan Royals,TL Suman,SM Harwood,Death,0.7394151373181995,0.7444667679596557,0.0050516306414561,False
392205,2009,2,19,2,Rajasthan Royals,Deccan Chargers,SM Harwood,FH Edwards,Death,0.808212771610929,0.7816449763581729,0.0265677952527561,False
392207,2009,2,1,8,Punjab Kings,Kolkata Knight Riders,S Sohal,AB Dinda,Powerplay,0.3093270229338237,0.2964904273821891,0.0128365955516346,False
392207,2009,2,17,5,Punjab Kings,Kolkata Knight Riders,IK Pathan,AB Agarkar,Death,0.6320760081014563,0.7172245269165106,0.0851485188150543,False
392208,2009,1,9,2,Mumbai Indians,Royal Challengers Bengaluru,ST Jayasuriya,R Vinay Kumar,Middle,0.4111167350403236,0.4396342307115529,0.0285174956712292,False
392208,2009,2,12,4,Royal Challengers Bengaluru,Mumbai Indians,JH Kallis,DJ Bravo,Middle,0.8427869686507987,0.8364247413190878,0.0063622273317108,False
392209,2009,1,2,3,Chennai Super Kings,Deccan Chargers,M Vijay,RJ Harris,Powerplay,0.6571622616021017,0.6425372646983782,0.0146249969037234,False
392209,2009,1,5,3,Chennai Super Kings,Deccan Chargers,ML Hayden,RG Sharma,Powerplay,0.7916165570034273,0.7866072184049729,0.0050093385984543,False
392209,2009,2,0,1,Deccan Chargers,Chennai Super Kings,AC Gilchrist,JA Morkel,Powerplay,0.5317296272654695,0.3610500634725703,0.1706795637928991,False
392210,2009,1,14,2,Rajasthan Royals,Punjab Kings,NV Ojha,RR Powar,Middle,0.9573848145980628,0.9581853098301364,0.0008004952320735,False
392210,2009,2,5,3,Punjab Kings,Rajasthan Royals,DPMD Jayawardene,YK Pathan,Powerplay,0.0937248879955051,0.0940824818783426,0.0003575938828374,False
392212,2009,1,6,1,Deccan Chargers,Mumbai Indians,AC Gilchrist,Harbhajan Singh,Middle,0.4648797569417168,0.4714198202990315,0.0065400633573146,False
